path,methods,section,formal_guard,versioned_reexport,dynamic_object,write_or_mixed,direct_db,external_touch,demo_or_fixture,legacy_or_retired,high_risk_path,capability_off,no_store,next_only_imports,request_read,response_statuses,response_codes,strict_eligible,selected_fourth_batch,exclusion_reason,direct_compatibility_test_count,transitive_compatibility_test_count,api_regression_test_count,production_reexport_count,runtime_caller_count,planned_colocated_test
src/app/api/institution/ai-service-usage/route.ts,GET,system,false,false,false,false,false,false,false,false,false,true,true,true,false,410,institution_ai_usage_capability_off,true,true,strict_candidate,1,0,2,0,1,src/app/api/institution/ai-service-usage/route.test.ts
src/app/api/institution/appointments/route.ts,GET|PATCH|POST,care,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/appointments/route.test.ts
src/app/api/institution/audit-events/route.ts,GET,system,true,false,false,false,false,false,false,false,false,true,true,false,true,503,institution_audit_events_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/audit-events/route.test.ts
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,customers,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/customers/[customerId]/followup-feedback/route.test.ts
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,customers,false,false,true,false,false,false,false,false,false,true,true,true,true,503,customer_followup_overview_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/customers/[customerId]/followup-overview/route.test.ts
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,customers,false,false,true,false,false,false,false,false,false,true,true,true,true,503,customer_followup_timeline_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/customers/[customerId]/followup-timeline/route.test.ts
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,customers,false,false,true,false,false,false,false,false,false,true,true,true,true,503,customer_timeline_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/customers/[customerId]/timeline/route.test.ts
src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,customers,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/customers/[customerId]/treatment-summaries/route.test.ts
src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,customers,false,false,true,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.test.ts
src/app/api/institution/customers/import/route.ts,POST|PUT,customers,false,false,false,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/customers/import/route.test.ts
src/app/api/institution/customers/route.ts,GET|PATCH|POST,customers,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/customers/route.test.ts
src/app/api/institution/dashboard-stats/route.ts,GET,system,false,false,false,false,false,false,false,true,false,false,true,true,false,410,legacy_dashboard_stats_disabled,false,false,legacy_or_retired,0,0,0,0,0,src/app/api/institution/dashboard-stats/route.test.ts
src/app/api/institution/entitlement-usage/route.ts,GET,system,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/entitlement-usage/route.test.ts
src/app/api/institution/follow-up-path-analysis/route.ts,GET,care,false,false,false,false,false,false,false,true,false,false,true,true,false,410,legacy_follow_up_path_analysis_disabled,false,false,legacy_or_retired,0,0,0,0,0,src/app/api/institution/follow-up-path-analysis/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/approve/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/reject/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,care,false,false,true,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.test.ts
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,customers,false,false,true,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.test.ts
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,care,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-message-drafts/route.test.ts
src/app/api/institution/followup-message-templates/route.ts,GET,care,true,false,false,false,false,false,false,false,false,true,true,false,true,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/followup-message-templates/route.test.ts
src/app/api/institution/followup-operations/dashboard/route.ts,GET,care,true,false,false,false,false,false,false,false,false,true,true,false,true,503,follow_up_operations_dashboard_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/followup-operations/dashboard/route.test.ts
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.test.ts
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,GET,care,false,false,true,false,false,false,false,false,false,true,true,true,true,503,follow_up_path_enrollment_detail_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.test.ts
src/app/api/institution/followup-paths/enrollments/route.ts,GET|POST,care,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled|follow_up_path_enrollment_list_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followup-paths/enrollments/route.test.ts
src/app/api/institution/followup-paths/templates/route.ts,GET,care,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/followup-paths/templates/route.test.ts
src/app/api/institution/followups/route.ts,GET|PATCH|POST,care,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/followups/route.test.ts
src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts,POST,system,false,false,true,true,false,false,false,false,true,false,false,false,true,,,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.test.ts
src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts,POST,system,false,false,true,true,false,false,false,false,true,false,false,false,true,,,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.test.ts
src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts,POST,system,false,false,true,true,false,false,false,false,true,false,false,false,true,,,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.test.ts
src/app/api/institution/his-connections/[connectionId]/credentials/route.ts,PATCH|POST,system,false,false,true,true,false,false,false,false,true,false,false,false,true,,,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/credentials/route.test.ts
src/app/api/institution/his-connections/[connectionId]/pause/route.ts,POST,system,false,false,true,true,false,false,false,false,true,true,true,true,false,503,institution_his_connections_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/pause/route.test.ts
src/app/api/institution/his-connections/[connectionId]/resume/route.ts,POST,system,false,false,true,true,false,false,false,false,true,true,true,true,false,503,institution_his_connections_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/resume/route.test.ts
src/app/api/institution/his-connections/[connectionId]/revoke/route.ts,POST,system,false,false,true,true,false,false,false,false,true,true,true,true,false,503,institution_his_connections_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/revoke/route.test.ts
src/app/api/institution/his-connections/[connectionId]/route.ts,DELETE|GET|PATCH,system,false,false,true,true,false,false,false,false,true,true,true,true,false,503,institution_his_connections_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/route.test.ts
src/app/api/institution/his-connections/[connectionId]/test-connection/route.ts,POST,system,false,false,true,true,false,false,false,false,true,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/[connectionId]/test-connection/route.test.ts
src/app/api/institution/his-connections/route.ts,GET|POST,system,false,false,false,true,false,false,false,false,true,true,true,true,false,503,institution_his_connections_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/his-connections/route.test.ts
src/app/api/institution/knowledge-management/ai-call/route.ts,POST,knowledge,false,false,false,true,false,false,false,false,false,true,true,true,false,503,institution_ai_call_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/ai-call/route.test.ts
src/app/api/institution/knowledge-management/ai-call/usage/route.ts,GET,knowledge,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/knowledge-management/ai-call/usage/route.test.ts
src/app/api/institution/knowledge-management/answer/route.ts,POST,knowledge,false,false,false,true,false,false,false,false,false,true,true,true,true,503,knowledge_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/answer/route.test.ts
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel/route.ts,POST,knowledge,false,false,true,true,false,false,false,false,true,true,true,true,false,503,knowledge_indexing_job_cancel_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel/route.test.ts
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.ts,GET,knowledge,false,false,true,false,false,false,false,false,true,true,true,true,false,503,knowledge_indexing_job_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.test.ts
src/app/api/institution/knowledge-management/indexing-jobs/route.ts,GET|POST,knowledge,false,false,false,true,false,false,false,false,true,true,true,true,true,503,knowledge_indexing_jobs_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/indexing-jobs/route.test.ts
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,GET,knowledge,false,false,true,false,false,false,false,false,true,true,true,true,false,503,capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.test.ts
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.ts,POST,knowledge,false,false,true,true,false,false,false,false,true,true,true,true,false,503,knowledge_embeddings_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.test.ts
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,GET,knowledge,false,false,true,false,false,false,false,false,true,true,true,true,false,503,capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.test.ts
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,GET|POST,knowledge,false,false,true,true,false,false,false,false,true,true,true,true,true,503,knowledge_file_parse_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.test.ts
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts,GET,knowledge,false,false,true,false,false,false,false,false,false,true,true,true,false,503,knowledge_files_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.test.ts
src/app/api/institution/knowledge-management/items/route.ts,GET|PATCH|POST,knowledge,false,false,false,true,false,false,false,false,false,true,true,true,true,503,knowledge_items_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/items/route.test.ts
src/app/api/institution/knowledge-management/qa/audits/route.ts,GET,knowledge,true,false,false,false,false,false,false,false,false,true,true,false,false,503,knowledge_qa_audits_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/knowledge-management/qa/audits/route.test.ts
src/app/api/institution/knowledge-management/qa/route.ts,POST,knowledge,false,false,false,true,false,false,false,false,false,true,true,true,false,503,knowledge_qa_capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/qa/route.test.ts
src/app/api/institution/knowledge-management/retrieval/route.ts,GET,knowledge,true,false,false,false,false,false,false,false,false,true,true,false,false,503,knowledge_retrieval_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/knowledge-management/retrieval/route.test.ts
src/app/api/institution/knowledge-management/search/route.ts,GET,knowledge,true,false,false,false,false,false,false,false,false,true,true,false,false,503,institution_knowledge_search_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/knowledge-management/search/route.test.ts
