route,methods,primary,state,independent_markers,write,dynamic,db,external,demo,legacy,reexport,off,test,strict
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.ts,GET,dynamic_object,governance_required,,false,true,false,false,true,false,false,true,false,false
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.ts,POST,write_or_mixed,governance_required,,true,true,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-customer-contact-precheck/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,true,false,false,true,false,false
src/app/api/institution/wecom-customer-mapping/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-official-dry-run/evaluate/route.ts,POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-official-dry-run-config/evaluate/route.ts,POST,write_or_mixed,governance_required,,true,false,false,true,false,false,true,false,false,false
src/app/api/institution/wecom-official-dry-run-config/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-official-dry-run-snapshot/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-official-internal-message-proof/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/institution/wecom-official-secret-precheck/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,true,false,false,false,true,false,false
src/app/api/v1/institution/ai-models/route.ts,GET,demo_fixture,governance_required,,false,false,false,false,true,false,false,false,false,false
src/app/api/v1/institution/wecom-official-dry-run/route.ts,GET,external_touch,governance_required,,false,false,false,true,false,false,true,false,false,false
