path,methods,section,object_type,dynamic_object,direct_db,demo_signal,high_risk_path,formal_guard_current,required_guard_chain,first_batch_eligible
src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,care,care_task,true,false,false,false,false,scope+section+action+object,false
src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,UNKNOWN,care,care_task,true,false,false,false,false,scope+section+action+object,false
src/app/api/institution/wecom-customer-contact-precheck/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-customer-mapping/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-dry-run-config/evaluate/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-dry-run-config/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-dry-run-snapshot/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-dry-run/evaluate/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-dry-run/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom-official-internal-message-proof/route.ts,UNKNOWN,conversations,conversation,false,false,false,true,false,scope+section,false
src/app/api/institution/wecom-official-secret-precheck/route.ts,UNKNOWN,conversations,conversation,false,false,false,true,false,scope+section,false
src/app/api/institution/wecom/customer-mapping-candidates/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.ts,UNKNOWN,conversations,conversation,true,false,false,true,false,scope+section+action+object,false
src/app/api/institution/wecom/external-contacts/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
src/app/api/v1/institution/ai-models/route.ts,GET,system,none,false,false,false,false,false,scope+section,true
src/app/api/v1/institution/wecom-official-dry-run/route.ts,UNKNOWN,conversations,conversation,false,false,false,false,false,scope+section,false
