entry_type,path,methods,formal_guard,legacy_authorization,versioned_reexport,dynamic_object,write_method,database_touch,external_touch,demo_or_fixture,capability_off,classification,compatibility_test_count,compatibility_tests
api_route,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/InstitutionKnowledgeManagementReadonlyApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,GET,false,false,false,true,false,false,false,false,true,capability_off_unwired,1,src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,GET|POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,1,src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts,GET,false,false,false,true,false,false,false,false,true,capability_off_unwired,4,src/modules/institution/tests/InstitutionKnowledgeDownloadCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeManagementReadonlyApiRoute.test.ts|src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingApiRoute.test.ts|src/modules/open-platform/tests/PlatformKnowledgeFileManagementApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/items/route.ts,GET|PATCH|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,8,src/modules/institution/tests/InstitutionKnowledgeBaseCardPanel.test.tsx|src/modules/institution/tests/InstitutionKnowledgeDownloadCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeItemsCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeManagementReadonlyApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingApiRoute.test.ts|src/modules/open-platform/tests/PlatformKnowledgeFileManagementApiRoute.test.ts|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/knowledge-management/qa/audits/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,3,src/app/api/institution/knowledge-management/qa/audits/route.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/open-platform/tests/PlatformKnowledgeQaApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/qa/route.ts,POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,4,src/app/api/institution/knowledge-management/qa/audits/route.test.ts|src/modules/institution/tests/InstitutionKnowledgeQaCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/open-platform/tests/PlatformKnowledgeQaApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/retrieval/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,3,src/app/api/institution/knowledge-management/retrieval/route.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/institution/tests/InstitutionKnowledgeRetrievalCapabilityRoute.test.ts
api_route,src/app/api/institution/knowledge-management/search/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,6,src/app/api/institution/knowledge-management/search/route.test.ts|src/modules/institution/tests/InstitutionKnowledgeBaseCardPanel.test.tsx|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/institution/tests/InstitutionKnowledgeSearchApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeSearchCapabilityRoute.test.ts|src/modules/open-platform/tests/PlatformKnowledgeKeywordSearchApiRoute.test.ts
api_route,src/app/api/institution/knowledge-management/upload/route.ts,POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,2,src/modules/institution/tests/InstitutionKnowledgeBaseCardPanel.test.tsx|src/modules/institution/tests/InstitutionKnowledgeUploadApiRoute.test.ts
