file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/tests/WeComCustomerContactDomain.test.ts,test,wecom,215,no,3,3,2,2,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerContactPrecheckApiRoute.test.ts,test,wecom,145,no,4,4,1,0,1,0,0,0,0,no,,network；next_runtime；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerContactPrecheckDomain.test.ts,test,wecom,165,no,3,3,2,2,0,0,0,0,0,no,,environment；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts,test,wecom,223,no,4,4,1,0,1,0,0,0,0,no,,environment；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerContactReadonlyProofDomain.test.ts,test,wecom,245,no,3,3,2,2,0,0,0,0,0,no,,environment；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts,test,wecom,174,no,3,3,1,0,1,0,0,0,0,no,,environment；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerContactReadonlyProofMockDomain.test.ts,test,wecom,183,no,3,2,2,2,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerMappingApiRoute.test.ts,test,wecom,122,no,4,4,1,0,1,0,0,0,0,no,,database；network；next_runtime,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerMappingCandidatesApiRoute.test.ts,test,wecom,1438,no,11,10,8,4,4,0,0,0,0,no,,database；network；next_runtime；external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerMappingCandidatesReadonlyPanel.test.tsx,test,wecom,656,no,4,4,2,1,1,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract；cross_module_outbound
