source_path,target_path,specifier,import_kind,scope,source_module,target_module,source_role,target_role,source_owner,target_owner,reverse_dependency,cycle_edge,risk
src/modules/institution/tests/WeComOfficialInternalMessageProofDomain.test.ts,src/modules/institution/domain/wecom-official-internal-message-proof.ts,@/modules/institution/domain/wecom-official-internal-message-proof,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts,,node:path,runtime,external_package,institution,node:path,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComOfficialSecretPrecheckApiRoute.test.ts,src/app/api/institution/wecom-official-secret-precheck/route.ts,@/app/api/institution/wecom-official-secret-precheck/route,runtime,cross_module_internal,institution,app,test,other,wecom,wecom,no,no,medium
src/modules/institution/tests/WeComOfficialSecretPrecheckDomain.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComOfficialSecretPrecheckDomain.test.ts,src/modules/institution/domain/wecom-official-secret-precheck.ts,@/modules/institution/domain/wecom-official-secret-precheck,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,,node:path,runtime,external_package,institution,node:path,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,,node:url,runtime,external_package,institution,node:url,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/domain/wecom-customer-broadcast-task-outcome.ts,@/modules/institution/domain/wecom-customer-broadcast-task-outcome,type,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/domain/wecom-customer-broadcast-task-provider.ts,@/modules/institution/domain/wecom-customer-broadcast-task-provider,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-customer-broadcast-task-mock-provider.ts,@/modules/institution/server/wecom-customer-broadcast-task-mock-provider,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-customer-broadcast-task-outcome-repository.ts,@/modules/institution/server/wecom-customer-broadcast-task-outcome-repository,type,institution_internal,institution,institution,test,server_repository,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-customer-broadcast-task-provider-runtime.ts,@/modules/institution/server/wecom-customer-broadcast-task-provider-runtime,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-real-send-execution-shell-service.ts,@/modules/institution/server/wecom-real-send-execution-shell-service,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-real-send-proof-repository.ts,@/modules/institution/server/wecom-real-send-proof-repository,type,institution_internal,institution,institution,test,server_repository,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/institution/server/wecom-real-send-proof-service.ts,@/modules/institution/server/wecom-real-send-proof-service,type,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendExecutionShellService.test.ts,src/modules/security/domain/access-control.ts,@/modules/security/domain/access-control,type,cross_module_internal,institution,security,test,domain,wecom,shared,no,no,medium
src/modules/institution/tests/WeComRealSendProofDomain.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofDomain.test.ts,src/modules/institution/domain/wecom-real-send-proof.ts,@/modules/institution/domain/wecom-real-send-proof,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,,drizzle-orm,type,external_package,institution,drizzle-orm,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,,drizzle-orm/pg-core,runtime,external_package,institution,drizzle-orm,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,,node:path,runtime,external_package,institution,node:path,test,external_package,wecom,,no,no,low
