source,target,import_specifier,edge_scope,source_role,target_role,reverse_dependency,cycle_edge
src/app/api/v1/open-platform/homepage-brand/_shared.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/assets/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/draft/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/publish/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/rollback/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/homepage-brand/versions/route.ts,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/capabilities/route.ts,src/modules/open-platform/server/platform-knowledge-production-governance-policy.ts,@/modules/open-platform/server/platform-knowledge-production-governance-policy,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/capabilities/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/[directoryId]/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/directories/[directoryId]/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/[directoryId]/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/reorder/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/directories/reorder/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/reorder/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/directories/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/directories/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/embeddings/route.ts,src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,@/modules/open-platform/server/platform-knowledge-embedding-vector-search-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/embeddings/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/embeddings/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/files/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/files/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/files/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,src/modules/open-platform/server/platform-knowledge-file-storage.ts,@/modules/open-platform/server/platform-knowledge-file-storage,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
